Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
    "max_variable_candidates": 5,
    "result_dir": "trained_models/",
    "load_model_file": null,
    "backbone_model": "resgagn",
    "optimizer": "Adam",
    "lr": 0.001,
    "lr_deduce_per_epoch": 10,
    "max_epochs": 1500,
    "cur_epoch": 1,
    "batch_size": 64,
    "dropout_rate": 0.0,
    "h_features": 128,
    "out_features": 128,
    "graph_node_max_num_chars": 19,
    "max_node_per_graph": 50,
    "device": "cuda",
    "slice_edge_type": [
        0,
        1,
        2,
        3,
        4,
        5,
        6,
        7,
        8
    ],
    "num_edge_types": 9,
    "train_data_dir": "data/csharp/train_data",
    "validate_data_dir": "data/csharp/validate_data",
    "dataset_name": "csharp",
    "value_dict_dir": "vocab_dict/python_terminal_dict_1k_value.json",
    "type_dict_dir": "vocab_dict/python_terminal_dict_1k_type.json",
    "dataset_num_workers": 0,
    "seed": 42,
    "slot_singal": "<SLOT>",
    "max_graph": 100000,
    "notes": "8layersresgagn2gatRelu",
    "train_data_nums": 9770,
    "valid_data_nums": 4285,
    "num_model_params": 1781744
}
== Epoch 1
Runing epoch 1 (training), batch 1 (has 64 graphs). Loss so far: 1.0642
Runing epoch 1 (training), batch 2 (has 64 graphs). Loss so far: 1.0373
Runing epoch 1 (training), batch 3 (has 64 graphs). Loss so far: 1.0208
Runing epoch 1 (training), batch 4 (has 64 graphs). Loss so far: 1.0305
Runing epoch 1 (training), batch 5 (has 64 graphs). Loss so far: 1.0294
Runing epoch 1 (training), batch 6 (has 64 graphs). Loss so far: 1.0355
Runing epoch 1 (training), batch 7 (has 64 graphs). Loss so far: 1.0448
Runing epoch 1 (training), batch 8 (has 64 graphs). Loss so far: 1.0458
Runing epoch 1 (training), batch 9 (has 64 graphs). Loss so far: 1.0451
Runing epoch 1 (training), batch 10 (has 64 graphs). Loss so far: 1.0540
Runing epoch 1 (training), batch 11 (has 64 graphs). Loss so far: 1.0607
Runing epoch 1 (training), batch 12 (has 64 graphs). Loss so far: 1.0571
Runing epoch 1 (training), batch 13 (has 64 graphs). Loss so far: 1.0550
Runing epoch 1 (training), batch 14 (has 64 graphs). Loss so far: 1.0540
Runing epoch 1 (training), batch 15 (has 64 graphs). Loss so far: 1.0463
Runing epoch 1 (training), batch 16 (has 64 graphs). Loss so far: 1.0462
Runing epoch 1 (training), batch 17 (has 64 graphs). Loss so far: 1.0420
Runing epoch 1 (training), batch 18 (has 64 graphs). Loss so far: 1.0453
Runing epoch 1 (training), batch 19 (has 64 graphs). Loss so far: 1.0487
Runing epoch 1 (training), batch 20 (has 64 graphs). Loss so far: 1.0489
Runing epoch 1 (training), batch 21 (has 64 graphs). Loss so far: 1.0481
Runing epoch 1 (training), batch 22 (has 64 graphs). Loss so far: 1.0508
Runing epoch 1 (training), batch 23 (has 64 graphs). Loss so far: 1.0509
Runing epoch 1 (training), batch 24 (has 64 graphs). Loss so far: 1.0512
Runing epoch 1 (training), batch 25 (has 64 graphs). Loss so far: 1.0556
Runing epoch 1 (training), batch 26 (has 64 graphs). Loss so far: 1.0543
Runing epoch 1 (training), batch 27 (has 64 graphs). Loss so far: 1.0546
Runing epoch 1 (training), batch 28 (has 64 graphs). Loss so far: 1.0532
Runing epoch 1 (training), batch 29 (has 64 graphs). Loss so far: 1.0549
Runing epoch 1 (training), batch 30 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 31 (has 64 graphs). Loss so far: 1.0548
Runing epoch 1 (training), batch 32 (has 64 graphs). Loss so far: 1.0541
Runing epoch 1 (training), batch 33 (has 64 graphs). Loss so far: 1.0557
Runing epoch 1 (training), batch 34 (has 64 graphs). Loss so far: 1.0564
Runing epoch 1 (training), batch 35 (has 64 graphs). Loss so far: 1.0565
Runing epoch 1 (training), batch 36 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 37 (has 64 graphs). Loss so far: 1.0547
Runing epoch 1 (training), batch 38 (has 64 graphs). Loss so far: 1.0531
Runing epoch 1 (training), batch 39 (has 64 graphs). Loss so far: 1.0535
Runing epoch 1 (training), batch 40 (has 64 graphs). Loss so far: 1.0534
Runing epoch 1 (training), batch 41 (has 64 graphs). Loss so far: 1.0536
Runing epoch 1 (training), batch 42 (has 64 graphs). Loss so far: 1.0535
Runing epoch 1 (training), batch 43 (has 64 graphs). Loss so far: 1.0507
Runing epoch 1 (training), batch 44 (has 64 graphs). Loss so far: 1.0522
Runing epoch 1 (training), batch 45 (has 64 graphs). Loss so far: 1.0513
Runing epoch 1 (training), batch 46 (has 64 graphs). Loss so far: 1.0526
Runing epoch 1 (training), batch 47 (has 64 graphs). Loss so far: 1.0542
Runing epoch 1 (training), batch 48 (has 64 graphs). Loss so far: 1.0539
Runing epoch 1 (training), batch 49 (has 64 graphs). Loss so far: 1.0540
Runing epoch 1 (training), batch 50 (has 64 graphs). Loss so far: 1.0531
Runing epoch 1 (training), batch 51 (has 64 graphs). Loss so far: 1.0537
Runing epoch 1 (training), batch 52 (has 64 graphs). Loss so far: 1.0544
Runing epoch 1 (training), batch 53 (has 64 graphs). Loss so far: 1.0539
Runing epoch 1 (training), batch 54 (has 64 graphs). Loss so far: 1.0536
Runing epoch 1 (training), batch 55 (has 64 graphs). Loss so far: 1.0541
Runing epoch 1 (training), batch 56 (has 64 graphs). Loss so far: 1.0548
Runing epoch 1 (training), batch 57 (has 64 graphs). Loss so far: 1.0542
Runing epoch 1 (training), batch 58 (has 64 graphs). Loss so far: 1.0534
Runing epoch 1 (training), batch 59 (has 64 graphs). Loss so far: 1.0532
Runing epoch 1 (training), batch 60 (has 64 graphs). Loss so far: 1.0534
Runing epoch 1 (training), batch 61 (has 64 graphs). Loss so far: 1.0531
Runing epoch 1 (training), batch 62 (has 64 graphs). Loss so far: 1.0533
Runing epoch 1 (training), batch 63 (has 64 graphs). Loss so far: 1.0540
Runing epoch 1 (training), batch 64 (has 64 graphs). Loss so far: 1.0550
Runing epoch 1 (training), batch 65 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 66 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 67 (has 64 graphs). Loss so far: 1.0563
Runing epoch 1 (training), batch 68 (has 64 graphs). Loss so far: 1.0568
Runing epoch 1 (training), batch 69 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 70 (has 64 graphs). Loss so far: 1.0574
Runing epoch 1 (training), batch 71 (has 64 graphs). Loss so far: 1.0574
Runing epoch 1 (training), batch 72 (has 64 graphs). Loss so far: 1.0581
Runing epoch 1 (training), batch 73 (has 64 graphs). Loss so far: 1.0579
Runing epoch 1 (training), batch 74 (has 64 graphs). Loss so far: 1.0573
Runing epoch 1 (training), batch 75 (has 64 graphs). Loss so far: 1.0571
Runing epoch 1 (training), batch 76 (has 64 graphs). Loss so far: 1.0563
Runing epoch 1 (training), batch 77 (has 64 graphs). Loss so far: 1.0566
Runing epoch 1 (training), batch 78 (has 64 graphs). Loss so far: 1.0564
Runing epoch 1 (training), batch 79 (has 64 graphs). Loss so far: 1.0567
Runing epoch 1 (training), batch 80 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 81 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 82 (has 64 graphs). Loss so far: 1.0561
Runing epoch 1 (training), batch 83 (has 64 graphs). Loss so far: 1.0556
Runing epoch 1 (training), batch 84 (has 64 graphs). Loss so far: 1.0557
Runing epoch 1 (training), batch 85 (has 64 graphs). Loss so far: 1.0557
Runing epoch 1 (training), batch 86 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 87 (has 64 graphs). Loss so far: 1.0570
Runing epoch 1 (training), batch 88 (has 64 graphs). Loss so far: 1.0566
Runing epoch 1 (training), batch 89 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 90 (has 64 graphs). Loss so far: 1.0560
Runing epoch 1 (training), batch 91 (has 64 graphs). Loss so far: 1.0569
Runing epoch 1 (training), batch 92 (has 64 graphs). Loss so far: 1.0573
Runing epoch 1 (training), batch 93 (has 64 graphs). Loss so far: 1.0577
Runing epoch 1 (training), batch 94 (has 64 graphs). Loss so far: 1.0582
Runing epoch 1 (training), batch 95 (has 64 graphs). Loss so far: 1.0571
Runing epoch 1 (training), batch 96 (has 64 graphs). Loss so far: 1.0569
Runing epoch 1 (training), batch 97 (has 64 graphs). Loss so far: 1.0570
Runing epoch 1 (training), batch 98 (has 64 graphs). Loss so far: 1.0574
Runing epoch 1 (training), batch 99 (has 64 graphs). Loss so far: 1.0570
Runing epoch 1 (training), batch 100 (has 64 graphs). Loss so far: 1.0573
Runing epoch 1 (training), batch 101 (has 64 graphs). Loss so far: 1.0575
Runing epoch 1 (training), batch 102 (has 64 graphs). Loss so far: 1.0572
Runing epoch 1 (training), batch 103 (has 64 graphs). Loss so far: 1.0567
Runing epoch 1 (training), batch 104 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 105 (has 64 graphs). Loss so far: 1.0560
Runing epoch 1 (training), batch 106 (has 64 graphs). Loss so far: 1.0563
Runing epoch 1 (training), batch 107 (has 64 graphs). Loss so far: 1.0563
Runing epoch 1 (training), batch 108 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 109 (has 64 graphs). Loss so far: 1.0562
Runing epoch 1 (training), batch 110 (has 64 graphs). Loss so far: 1.0556
Runing epoch 1 (training), batch 111 (has 64 graphs). Loss so far: 1.0553
Runing epoch 1 (training), batch 112 (has 64 graphs). Loss so far: 1.0547
Runing epoch 1 (training), batch 113 (has 64 graphs). Loss so far: 1.0549
Runing epoch 1 (training), batch 114 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 115 (has 64 graphs). Loss so far: 1.0561
Runing epoch 1 (training), batch 116 (has 64 graphs). Loss so far: 1.0565
Runing epoch 1 (training), batch 117 (has 64 graphs). Loss so far: 1.0564
Runing epoch 1 (training), batch 118 (has 64 graphs). Loss so far: 1.0565
Runing epoch 1 (training), batch 119 (has 64 graphs). Loss so far: 1.0568
Runing epoch 1 (training), batch 120 (has 64 graphs). Loss so far: 1.0566
Runing epoch 1 (training), batch 121 (has 64 graphs). Loss so far: 1.0569
Runing epoch 1 (training), batch 122 (has 64 graphs). Loss so far: 1.0568
Runing epoch 1 (training), batch 123 (has 64 graphs). Loss so far: 1.0572
Runing epoch 1 (training), batch 124 (has 64 graphs). Loss so far: 1.0571
Runing epoch 1 (training), batch 125 (has 64 graphs). Loss so far: 1.0572
Runing epoch 1 (training), batch 126 (has 64 graphs). Loss so far: 1.0575
Runing epoch 1 (training), batch 127 (has 64 graphs). Loss so far: 1.0577
Runing epoch 1 (training), batch 128 (has 64 graphs). Loss so far: 1.0575
Runing epoch 1 (training), batch 129 (has 64 graphs). Loss so far: 1.0577
Runing epoch 1 (training), batch 130 (has 64 graphs). Loss so far: 1.0580
Runing epoch 1 (training), batch 131 (has 64 graphs). Loss so far: 1.0575
Runing epoch 1 (training), batch 132 (has 64 graphs). Loss so far: 1.0579
Runing epoch 1 (training), batch 133 (has 64 graphs). Loss so far: 1.0579
Runing epoch 1 (training), batch 134 (has 64 graphs). Loss so far: 1.0574
Runing epoch 1 (training), batch 135 (has 64 graphs). Loss so far: 1.0571
Runing epoch 1 (training), batch 136 (has 64 graphs). Loss so far: 1.0569
Runing epoch 1 (training), batch 137 (has 64 graphs). Loss so far: 1.0565
Runing epoch 1 (training), batch 138 (has 64 graphs). Loss so far: 1.0558
Runing epoch 1 (training), batch 139 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 140 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 141 (has 64 graphs). Loss so far: 1.0560
Runing epoch 1 (training), batch 142 (has 64 graphs). Loss so far: 1.0564
Runing epoch 1 (training), batch 143 (has 64 graphs). Loss so far: 1.0558
Runing epoch 1 (training), batch 144 (has 64 graphs). Loss so far: 1.0556
Runing epoch 1 (training), batch 145 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 146 (has 64 graphs). Loss so far: 1.0560
Runing epoch 1 (training), batch 147 (has 64 graphs). Loss so far: 1.0559
Runing epoch 1 (training), batch 148 (has 64 graphs). Loss so far: 1.0557
Runing epoch 1 (training), batch 149 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 150 (has 64 graphs). Loss so far: 1.0556
Runing epoch 1 (training), batch 151 (has 64 graphs). Loss so far: 1.0561
Runing epoch 1 (training), batch 152 (has 64 graphs). Loss so far: 1.0555
Runing epoch 1 (training), batch 153 (has 42 graphs). Loss so far: 1.0552
[K Train: loss: 1.05524 || Top1 0.408 Top2 0.765 Top3 0.893 Top4 0.960 Top5 1.000 || graphs/sec: 32.21 | nodes/sec: 1610 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 1 (validation), batch 1 (has 64 graphs). Loss so far: 1.0669
Runing epoch 1 (validation), batch 2 (has 64 graphs). Loss so far: 1.0454
Runing epoch 1 (validation), batch 3 (has 64 graphs). Loss so far: 1.0625
Runing epoch 1 (validation), batch 4 (has 64 graphs). Loss so far: 1.0518
Runing epoch 1 (validation), batch 5 (has 64 graphs). Loss so far: 1.0593
Runing epoch 1 (validation), batch 6 (has 64 graphs). Loss so far: 1.0704
